2019-05-19 18:19:00
sign_sgd_majority_one-point_log-reg_fix-step_20_20,0_1
it: 171, loss: 2.461392682081145, stepsize: 0.0023221261407061896
it: 172, loss: 2.472656392981793, stepsize: 0.0020899135266355708
it: 173, loss: 2.48310362450118, stepsize: 0.0018809221739720136
it: 174, loss: 2.47406305758469, stepsize: 0.0018809221739720136
it: 175, loss: 2.4638067220040427, stepsize: 0.0018809221739720136
it: 176, loss: 2.4556402608536567, stepsize: 0.0018809221739720136
it: 177, loss: 2.461803574869837, stepsize: 0.0016928299565748125
it: 178, loss: 2.466471263912267, stepsize: 0.0015235469609173314
it: 179, loss: 2.473341814983698, stepsize: 0.0013711922648255981
it: 180, loss: 2.4771423171465887, stepsize: 0.0012340730383430384
it: 181, loss: 2.4791613644469486, stepsize: 0.0011106657345087345
it: 182, loss: 2.4737369742161786, stepsize: 0.0011106657345087345
it: 183, loss: 2.4797241807927644, stepsize: 0.0009995991610578612
it: 184, loss: 2.4751238064509167, stepsize: 0.0009995991610578612
it: 185, loss: 2.47011979193359, stepsize: 0.0009995991610578612
it: 186, loss: 2.4684608217619206, stepsize: 0.0009995991610578612
it: 187, loss: 2.4655047696498458, stepsize: 0.0009995991610578612
it: 188, loss: 2.4625863948189908, stepsize: 0.0009995991610578612
it: 189, loss: 2.4576687146825567, stepsize: 0.0009995991610578612
it: 190, loss: 2.4526348337214863, stepsize: 0.0009995991610578612
it: 191, loss: 2.447684495357496, stepsize: 0.0009995991610578612
it: 192, loss: 2.4429236765591966, stepsize: 0.0009995991610578612
it: 193, loss: 2.4430277948679073, stepsize: 0.0008996392449520749
it: 194, loss: 2.438233927360848, stepsize: 0.0008996392449520749
it: 195, loss: 2.434002481954101, stepsize: 0.0008996392449520749
it: 196, loss: 2.4295190929792616, stepsize: 0.0008996392449520749
it: 197, loss: 2.434349174699912, stepsize: 0.0008096753204568675
it: 198, loss: 2.432974915135615, stepsize: 0.0008096753204568675
it: 199, loss: 2.4290471847591344, stepsize: 0.0008096753204568675
it: 200, loss: 2.4325637978886663, stepsize: 0.0007287077884111807
it: 201, loss: 2.429046785289023, stepsize: 0.0007287077884111807
it: 202, loss: 2.4257190590114153, stepsize: 0.0007287077884111807
it: 203, loss: 2.4249776016380213, stepsize: 0.0007287077884111807
it: 204, loss: 2.426243538285779, stepsize: 0.0006558370095700628
it: 205, loss: 2.429365054940038, stepsize: 0.0005902533086130566
it: 206, loss: 2.4307649307850916, stepsize: 0.0005312279777517509
it: 207, loss: 2.4328615088520316, stepsize: 0.0004781051799765758
it: 208, loss: 2.4306157593604123, stepsize: 0.0004781051799765758
it: 209, loss: 2.428309044593873, stepsize: 0.0004781051799765758
it: 210, loss: 2.4293170738406795, stepsize: 0.0004302946619789182
it: 211, loss: 2.427269579976921, stepsize: 0.0004302946619789182
it: 212, loss: 2.429312141062967, stepsize: 0.0003872651957810264
it: 213, loss: 2.42743486598392, stepsize: 0.0003872651957810264
it: 214, loss: 2.4293002849124177, stepsize: 0.00034853867620292375
it: 215, loss: 2.427395692157626, stepsize: 0.00034853867620292375
it: 216, loss: 2.4280345841634663, stepsize: 0.0003136848085826314
it: 217, loss: 2.429546869220237, stepsize: 0.00028231632772436827
it: 218, loss: 2.4292309036509288, stepsize: 0.00028231632772436827
it: 219, loss: 2.4276270560432613, stepsize: 0.00028231632772436827
it: 220, loss: 2.427053585197073, stepsize: 0.00028231632772436827
it: 221, loss: 2.4271186067549113, stepsize: 0.00025408469495193147
it: 222, loss: 2.4283245819081025, stepsize: 0.00022867622545673833
it: 223, loss: 2.4271067375744924, stepsize: 0.00022867622545673833
it: 224, loss: 2.42679420920885, stepsize: 0.00022867622545673833
it: 225, loss: 2.4277762063818944, stepsize: 0.00020580860291106448
it: 226, loss: 2.42880206024277, stepsize: 0.00018522774261995803
it: 227, loss: 2.4296997788086347, stepsize: 0.00016670496835796223
it: 228, loss: 2.429365786635601, stepsize: 0.00016670496835796223
it: 229, loss: 2.4285773391027496, stepsize: 0.00016670496835796223
it: 230, loss: 2.427749275858245, stepsize: 0.00016670496835796223
it: 231, loss: 2.428668129147257, stepsize: 0.00015003447152216602
it: 232, loss: 2.4279229029577545, stepsize: 0.00015003447152216602
it: 233, loss: 2.4271903795224725, stepsize: 0.00015003447152216602
it: 234, loss: 2.427278704775742, stepsize: 0.00013503102436994942
it: 235, loss: 2.4279191483247944, stepsize: 0.00012152792193295448
it: 236, loss: 2.428410043040751, stepsize: 0.00010937512973965904
it: 237, loss: 2.427848601173003, stepsize: 0.00010937512973965904
it: 238, loss: 2.428358834080778, stepsize: 9.843761676569314e-05
it: 239, loss: 2.4278876004919274, stepsize: 9.843761676569314e-05
it: 240, loss: 2.4273627581803927, stepsize: 9.843761676569314e-05
it: 241, loss: 2.4268894890520483, stepsize: 9.843761676569314e-05
it: 242, loss: 2.426636004712498, stepsize: 9.843761676569314e-05
it: 243, loss: 2.4269386643475857, stepsize: 8.859385508912383e-05
it: 244, loss: 2.426511790410101, stepsize: 8.859385508912383e-05
it: 245, loss: 2.42603453494075, stepsize: 8.859385508912383e-05
it: 246, loss: 2.4256078220373736, stepsize: 8.859385508912383e-05
it: 247, loss: 2.4255783751087585, stepsize: 8.859385508912383e-05
it: 248, loss: 2.4251202373804714, stepsize: 8.859385508912383e-05
it: 249, loss: 2.4256007303730867, stepsize: 7.973446958021145e-05
it: 250, loss: 2.4252619996202682, stepsize: 7.973446958021145e-05
it: 251, loss: 2.425361455190246, stepsize: 7.17610226221903e-05
it: 252, loss: 2.4250296429675497, stepsize: 7.17610226221903e-05
it: 253, loss: 2.4246712766200007, stepsize: 7.17610226221903e-05
it: 254, loss: 2.4243325833094773, stepsize: 7.17610226221903e-05
it: 255, loss: 2.4241067149087323, stepsize: 7.17610226221903e-05
it: 256, loss: 2.424307630024954, stepsize: 6.458492035997128e-05
it: 257, loss: 2.4246083892507504, stepsize: 5.812642832397415e-05
it: 258, loss: 2.4243579135322606, stepsize: 5.812642832397415e-05
it: 259, loss: 2.4246322538916196, stepsize: 5.231378549157673e-05
it: 260, loss: 2.424882037922429, stepsize: 4.708240694241906e-05
it: 261, loss: 2.4246542818414625, stepsize: 4.708240694241906e-05
it: 262, loss: 2.424656691666785, stepsize: 4.2374166248177156e-05
it: 263, loss: 2.4246549236831725, stepsize: 4.2374166248177156e-05
it: 264, loss: 2.4247848715551132, stepsize: 3.813674962335944e-05
it: 265, loss: 2.4246822134751698, stepsize: 3.813674962335944e-05
it: 266, loss: 2.4245716106735236, stepsize: 3.813674962335944e-05
it: 267, loss: 2.424547732182324, stepsize: 3.813674962335944e-05
it: 268, loss: 2.4247313379256505, stepsize: 3.43230746610235e-05
it: 269, loss: 2.424919361112708, stepsize: 3.089076719492115e-05
it: 270, loss: 2.424753750527053, stepsize: 3.089076719492115e-05
it: 271, loss: 2.4246170160483587, stepsize: 3.089076719492115e-05
it: 272, loss: 2.424479076801626, stepsize: 3.089076719492115e-05
it: 273, loss: 2.4244048862163217, stepsize: 3.089076719492115e-05
it: 274, loss: 2.4243470242535103, stepsize: 3.089076719492115e-05
it: 275, loss: 2.424483041548695, stepsize: 2.7801690475429034e-05
it: 276, loss: 2.4244915185906795, stepsize: 2.5021521427886132e-05
it: 277, loss: 2.4243534442037222, stepsize: 2.5021521427886132e-05
it: 278, loss: 2.4244636267289597, stepsize: 2.2519369285097516e-05
it: 279, loss: 2.424558341785263, stepsize: 2.0267432356587768e-05
it: 280, loss: 2.4244663569338627, stepsize: 2.0267432356587768e-05
it: 281, loss: 2.4245524387298354, stepsize: 1.824068912092899e-05
it: 282, loss: 2.42446811282859, stepsize: 1.824068912092899e-05
it: 283, loss: 2.4243805287042477, stepsize: 1.824068912092899e-05
it: 284, loss: 2.4244110584405254, stepsize: 1.641662020883609e-05
it: 285, loss: 2.4243256642986597, stepsize: 1.641662020883609e-05
it: 286, loss: 2.4244021331942056, stepsize: 1.4774958187952484e-05
it: 287, loss: 2.4243338328961026, stepsize: 1.4774958187952484e-05
it: 288, loss: 2.424407292592802, stepsize: 1.3297462369157235e-05
