2019-05-15 16:35:23
sign_sgd_majority_two-point_log-reg_fix-step_3_10,0_1
it: 135, loss: 0.7114068853912799, stepsize: 0.011790184577738602
it: 136, loss: 0.7114068853912799, stepsize: 0.010611166119964741
it: 137, loss: 0.7088785042824276, stepsize: 0.010611166119964741
it: 138, loss: 0.6957483024172781, stepsize: 0.010611166119964741
it: 139, loss: 0.6957483024172781, stepsize: 0.009550049507968268
it: 140, loss: 0.6957483024172781, stepsize: 0.00859504455717144
it: 141, loss: 0.6957483024172781, stepsize: 0.007735540101454297
it: 142, loss: 0.6957483024172781, stepsize: 0.0069619860913088675
it: 143, loss: 0.6957483024172781, stepsize: 0.006265787482177981
it: 144, loss: 0.6957483024172781, stepsize: 0.005639208733960184
it: 145, loss: 0.6957483024172781, stepsize: 0.005075287860564165
it: 146, loss: 0.6957483024172781, stepsize: 0.004567759074507748
it: 147, loss: 0.6953663681377312, stepsize: 0.004567759074507748
it: 148, loss: 0.6953663681377312, stepsize: 0.0041109831670569745
it: 149, loss: 0.6953663681377312, stepsize: 0.0036998848503512764
it: 150, loss: 0.6953663681377312, stepsize: 0.003329896365316149
it: 151, loss: 0.6953663681377312, stepsize: 0.002996906728784534
it: 152, loss: 0.6953663681377312, stepsize: 0.002697216055906081
it: 153, loss: 0.6953663681377312, stepsize: 0.002427494450315473
it: 154, loss: 0.6953663681377312, stepsize: 0.0021847450052839253
it: 155, loss: 0.6953663681377312, stepsize: 0.0019662705047555334
it: 156, loss: 0.6953663681377312, stepsize: 0.0017696434542799797
it: 157, loss: 0.6953663681377312, stepsize: 0.0015926791088519817
it: 158, loss: 0.6950833313280452, stepsize: 0.0015926791088519817
it: 159, loss: 0.6950833313280452, stepsize: 0.0014334111979667837
it: 160, loss: 0.6950833313280452, stepsize: 0.0012900700781701053
it: 161, loss: 0.6950833313280452, stepsize: 0.0011610630703530948
it: 162, loss: 0.6947357862054884, stepsize: 0.0011610630703530948
it: 163, loss: 0.6947357862054884, stepsize: 0.0010449567633177854
it: 164, loss: 0.6947357862054884, stepsize: 0.0009404610869860068
it: 165, loss: 0.6947357862054884, stepsize: 0.0008464149782874062
it: 166, loss: 0.6947357862054884, stepsize: 0.0007617734804586657
it: 167, loss: 0.6947357862054884, stepsize: 0.0006855961324127991
it: 168, loss: 0.6947357862054884, stepsize: 0.0006170365191715192
it: 169, loss: 0.6947357862054884, stepsize: 0.0005553328672543672
it: 170, loss: 0.6947357862054884, stepsize: 0.0004997995805289306
it: 171, loss: 0.6947357862054884, stepsize: 0.00044981962247603747
it: 172, loss: 0.6947357862054884, stepsize: 0.00040483766022843373
it: 173, loss: 0.6947357862054884, stepsize: 0.00036435389420559036
it: 174, loss: 0.6947357862054884, stepsize: 0.0003279185047850314
it: 175, loss: 0.6947357862054884, stepsize: 0.0002951266543065283
it: 176, loss: 0.6947357862054884, stepsize: 0.00026561398887587544
it: 177, loss: 0.6947357862054884, stepsize: 0.0002390525899882879
it: 178, loss: 0.6947357862054884, stepsize: 0.0002151473309894591
it: 179, loss: 0.6947088483309876, stepsize: 0.0002151473309894591
it: 180, loss: 0.6947088483309876, stepsize: 0.0001936325978905132
it: 181, loss: 0.6947088483309876, stepsize: 0.00017426933810146187
it: 182, loss: 0.6947088483309876, stepsize: 0.0001568424042913157
it: 183, loss: 0.6947088483309876, stepsize: 0.00014115816386218414
it: 184, loss: 0.6947088483309876, stepsize: 0.00012704234747596573
it: 185, loss: 0.6947088483309876, stepsize: 0.00011433811272836916
it: 186, loss: 0.6947088483309876, stepsize: 0.00010290430145553224
it: 187, loss: 0.6947088483309876, stepsize: 9.261387130997902e-05
it: 188, loss: 0.6947088483309876, stepsize: 8.335248417898111e-05
it: 189, loss: 0.6947088483309876, stepsize: 7.501723576108301e-05
it: 190, loss: 0.6946963848464396, stepsize: 7.501723576108301e-05
it: 191, loss: 0.6946963848464396, stepsize: 6.751551218497471e-05
it: 192, loss: 0.6946963848464396, stepsize: 6.076396096647724e-05
it: 193, loss: 0.6946963848464396, stepsize: 5.468756486982952e-05
it: 194, loss: 0.6946963848464396, stepsize: 4.921880838284657e-05
it: 195, loss: 0.6946963848464396, stepsize: 4.429692754456191e-05
it: 196, loss: 0.6946963848464396, stepsize: 3.986723479010572e-05
it: 197, loss: 0.6946963848464396, stepsize: 3.588051131109515e-05
it: 198, loss: 0.6946963848464396, stepsize: 3.229246017998564e-05
it: 199, loss: 0.6946963848464396, stepsize: 2.9063214161987074e-05
Master: sending signal to all workers to stop.
