2019-05-19 18:19:22
sign_sgd_majority_two-point_log-reg_var-step_20_10,0_1
it: 176, loss: 2.67101008089256, stepsize: 0.753778361444409
it: 177, loss: 2.67101008089256, stepsize: 0.7516460280028289
it: 178, loss: 2.67101008089256, stepsize: 0.7495316889958614
it: 179, loss: 2.389266379928632, stepsize: 0.7474350927519359
it: 180, loss: 2.389266379928632, stepsize: 0.7453559924999299
it: 181, loss: 2.389266379928632, stepsize: 0.7432941462471664
it: 182, loss: 2.389266379928632, stepsize: 0.7412493166611012
it: 183, loss: 2.389266379928632, stepsize: 0.7392212709545728
it: 184, loss: 2.389266379928632, stepsize: 0.7372097807744856
it: 185, loss: 2.389266379928632, stepsize: 0.7352146220938077
it: 186, loss: 2.2983869071916976, stepsize: 0.7332355751067665
it: 187, loss: 2.2983869071916976, stepsize: 0.7312724241271307
it: 188, loss: 2.2983869071916976, stepsize: 0.7293249574894728
it: 189, loss: 2.2983869071916976, stepsize: 0.727392967453308
it: 190, loss: 2.2983869071916976, stepsize: 0.7254762501100117
it: 191, loss: 2.2983869071916976, stepsize: 0.7235746052924217
it: 192, loss: 2.2983869071916976, stepsize: 0.7216878364870323
it: 193, loss: 2.2983869071916976, stepsize: 0.7198157507486945
it: 194, loss: 2.2983869071916976, stepsize: 0.7179581586177382
it: 195, loss: 2.2983869071916976, stepsize: 0.7161148740394329
it: 196, loss: 2.2983869071916976, stepsize: 0.7142857142857143
it: 197, loss: 2.2983869071916976, stepsize: 0.7124704998790965
it: 198, loss: 2.2983869071916976, stepsize: 0.7106690545187014
it: 199, loss: 2.2983869071916976, stepsize: 0.7088812050083358
it: 200, loss: 2.2983869071916976, stepsize: 0.7071067811865475
it: 201, loss: 2.2983869071916976, stepsize: 0.7053456158585982
it: 202, loss: 2.2983869071916976, stepsize: 0.7035975447302919
it: 203, loss: 2.2983869071916976, stepsize: 0.7018624063435964
it: 204, loss: 2.2983869071916976, stepsize: 0.7001400420140048
it: 205, loss: 2.2983869071916976, stepsize: 0.6984302957695782
it: 206, loss: 2.2983869071916976, stepsize: 0.6967330142916177
it: 207, loss: 2.2983869071916976, stepsize: 0.6950480468569159
it: 208, loss: 2.2983869071916976, stepsize: 0.6933752452815365
it: 209, loss: 2.2983869071916976, stepsize: 0.6917144638660746
it: 210, loss: 2.2983869071916976, stepsize: 0.6900655593423543
it: 211, loss: 2.2983869071916976, stepsize: 0.6884283908215143
it: 212, loss: 2.2983869071916976, stepsize: 0.6868028197434451
it: 213, loss: 2.2983869071916976, stepsize: 0.6851887098275317
it: 214, loss: 2.2983869071916976, stepsize: 0.6835859270246633
it: 215, loss: 2.2983869071916976, stepsize: 0.6819943394704735
it: 216, loss: 2.2983869071916976, stepsize: 0.6804138174397717
it: 217, loss: 2.2983869071916976, stepsize: 0.6788442333021307
it: 218, loss: 2.2983869071916976, stepsize: 0.6772854614785964
it: 219, loss: 2.2983869071916976, stepsize: 0.6757373783994859
it: 220, loss: 2.2983869071916976, stepsize: 0.674199862463242
it: 221, loss: 2.2983869071916976, stepsize: 0.6726727939963124
it: 222, loss: 2.2983869071916976, stepsize: 0.6711560552140243
it: 223, loss: 2.2983869071916976, stepsize: 0.669649530182425
it: 224, loss: 2.2983869071916976, stepsize: 0.6681531047810609
it: 225, loss: 2.2983869071916976, stepsize: 0.6666666666666666
it: 226, loss: 2.2983869071916976, stepsize: 0.6651901052377394
it: 227, loss: 2.2983869071916976, stepsize: 0.663723311599972
it: 228, loss: 2.2983869071916976, stepsize: 0.6622661785325219
it: 229, loss: 2.2983869071916976, stepsize: 0.6608186004550898
it: 230, loss: 2.2983869071916976, stepsize: 0.659380473395787
it: 231, loss: 2.2983869071916976, stepsize: 0.657951694959769
it: 232, loss: 2.2983869071916976, stepsize: 0.6565321642986127
it: 233, loss: 2.2983869071916976, stepsize: 0.6551217820804184
it: 234, loss: 2.2983869071916976, stepsize: 0.6537204504606134
it: 235, loss: 2.2983869071916976, stepsize: 0.6523280730534422
it: 236, loss: 2.2983869071916976, stepsize: 0.6509445549041194
it: 237, loss: 2.08957262294487, stepsize: 0.6495698024616309
it: 238, loss: 2.08957262294487, stepsize: 0.6482037235521644
it: 239, loss: 2.08957262294487, stepsize: 0.6468462273531509
it: 240, loss: 2.08957262294487, stepsize: 0.6454972243679028
it: 241, loss: 2.08957262294487, stepsize: 0.6441566264008308
it: 242, loss: 2.08957262294487, stepsize: 0.6428243465332251
it: 243, loss: 1.9858689890534094, stepsize: 0.6415002990995842
it: 244, loss: 1.9858689890534094, stepsize: 0.6401843996644799
it: 245, loss: 1.9858689890534094, stepsize: 0.6388765649999398
it: 246, loss: 1.9858689890534094, stepsize: 0.6375767130633383
it: 247, loss: 1.9858689890534094, stepsize: 0.6362847629757777
it: 248, loss: 1.9858689890534094, stepsize: 0.6350006350009525
it: 249, loss: 1.9858689890534094, stepsize: 0.6337242505244779
it: 250, loss: 1.9858689890534094, stepsize: 0.6324555320336759
it: 251, loss: 1.9858689890534094, stepsize: 0.6311944030978032
it: 252, loss: 1.9858689890534094, stepsize: 0.629940788348712
it: 253, loss: 1.9858689890534094, stepsize: 0.6286946134619315
it: 254, loss: 1.9858689890534094, stepsize: 0.6274558051381586
it: 255, loss: 1.9858689890534094, stepsize: 0.6262242910851495
it: 256, loss: 1.9858689890534094, stepsize: 0.625
it: 257, loss: 1.9858689890534094, stepsize: 0.6237828615518053
it: 258, loss: 1.9858689890534094, stepsize: 0.6225728063646904
it: 259, loss: 1.9858689890534094, stepsize: 0.6213697660012001
it: 260, loss: 1.9858689890534094, stepsize: 0.6201736729460423
it: 261, loss: 1.9858689890534094, stepsize: 0.618984460590173
it: 262, loss: 1.9858689890534094, stepsize: 0.6178020632152155
it: 263, loss: 1.9858689890534094, stepsize: 0.6166264159782073
it: 264, loss: 1.9667212877487095, stepsize: 0.6154574548966636
it: 265, loss: 1.9667212877487095, stepsize: 0.6142951168339512
it: 266, loss: 1.9667212877487095, stepsize: 0.6131393394849658
it: 267, loss: 1.9667212877487095, stepsize: 0.6119900613621045
it: 268, loss: 1.9667212877487095, stepsize: 0.6108472217815261
it: 269, loss: 1.9667212877487095, stepsize: 0.6097107608496923
it: 270, loss: 1.9529747737438437, stepsize: 0.6085806194501846
it: 271, loss: 1.9510396057278745, stepsize: 0.6074567392307869
it: 272, loss: 1.9510396057278745, stepsize: 0.6063390625908325
it: 273, loss: 1.9510396057278745, stepsize: 0.6052275326688025
it: 274, loss: 1.9510396057278745, stepsize: 0.604122093330177
it: 275, loss: 1.9510396057278745, stepsize: 0.6030226891555271
it: 276, loss: 1.9510396057278745, stepsize: 0.601929265428846
