2019-05-19 15:09:42
sign_sgd_majority_one-point_log-reg_var-step_20_10,0_1
it: 166, loss: 19.742394779015573, stepsize: 0.7761505257063328
it: 167, loss: 13.675880634137046, stepsize: 0.7738232325341369
it: 168, loss: 19.946313929793114, stepsize: 0.7715167498104595
it: 169, loss: 14.035207052106653, stepsize: 0.7692307692307693
it: 170, loss: 20.57213796509353, stepsize: 0.7669649888473704
it: 171, loss: 19.294984566585818, stepsize: 0.7647191129018726
it: 172, loss: 18.365865819204938, stepsize: 0.7624928516630234
it: 173, loss: 13.15148741327373, stepsize: 0.7602859212697055
it: 174, loss: 19.72126829777648, stepsize: 0.7580980435789034
it: 175, loss: 13.446700785019063, stepsize: 0.7559289460184545
it: 176, loss: 18.358182150327174, stepsize: 0.753778361444409
it: 177, loss: 13.703197797479469, stepsize: 0.7516460280028289
it: 178, loss: 17.62395471390412, stepsize: 0.7495316889958614
it: 179, loss: 12.808662991873565, stepsize: 0.7474350927519359
it: 180, loss: 17.96614810346971, stepsize: 0.7453559924999299
it: 181, loss: 12.972378968352212, stepsize: 0.7432941462471664
it: 182, loss: 18.334866434145955, stepsize: 0.7412493166611012
it: 183, loss: 12.774134612054977, stepsize: 0.7392212709545728
it: 184, loss: 17.562288590397436, stepsize: 0.7372097807744856
it: 185, loss: 19.85837406398366, stepsize: 0.7352146220938077
it: 186, loss: 17.04139807827906, stepsize: 0.7332355751067665
it: 187, loss: 12.138515357718525, stepsize: 0.7312724241271307
it: 188, loss: 17.929367324056486, stepsize: 0.7293249574894728
it: 189, loss: 12.643233266021495, stepsize: 0.727392967453308
it: 190, loss: 16.291243950171825, stepsize: 0.7254762501100117
it: 191, loss: 12.582815784679893, stepsize: 0.7235746052924217
it: 192, loss: 17.88084643932477, stepsize: 0.7216878364870323
it: 193, loss: 17.31281983761218, stepsize: 0.7198157507486945
it: 194, loss: 16.290619635210014, stepsize: 0.7179581586177382
it: 195, loss: 12.827293936146194, stepsize: 0.7161148740394329
it: 196, loss: 16.603592391982914, stepsize: 0.7142857142857143
it: 197, loss: 14.303341344457786, stepsize: 0.7124704998790965
it: 198, loss: 18.525123470407376, stepsize: 0.7106690545187014
it: 199, loss: 12.062902141042418, stepsize: 0.7088812050083358
Master: sending signal to all workers to stop.
