2019-05-15 16:35:21
sign_sgd_majority_two-point_log-reg_var-step_3_10,0_1
it: 109, loss: 23.542259574138228, stepsize: 0.9578262852211513
it: 110, loss: 23.542259574138228, stepsize: 0.9534625892455924
it: 111, loss: 23.542259574138228, stepsize: 0.949157995752499
it: 112, loss: 23.542259574138228, stepsize: 0.944911182523068
it: 113, loss: 23.542259574138228, stepsize: 0.9407208683835973
it: 114, loss: 23.287803424924878, stepsize: 0.936585811581694
it: 115, loss: 22.679448047765437, stepsize: 0.9325048082403138
it: 116, loss: 22.679448047765437, stepsize: 0.9284766908852594
it: 117, loss: 22.679448047765437, stepsize: 0.9245003270420484
it: 118, loss: 22.679448047765437, stepsize: 0.9205746178983234
it: 119, loss: 22.561524576064993, stepsize: 0.9166984970282114
it: 120, loss: 22.43885627554862, stepsize: 0.9128709291752769
it: 121, loss: 22.2659415664548, stepsize: 0.9090909090909091
it: 122, loss: 21.693081987296402, stepsize: 0.9053574604251853
it: 123, loss: 21.428043333270633, stepsize: 0.9016696346674322
it: 124, loss: 21.428043333270633, stepsize: 0.8980265101338746
it: 125, loss: 21.187140700405816, stepsize: 0.8944271909999159
it: 126, loss: 21.187140700405816, stepsize: 0.8908708063747479
it: 127, loss: 21.187140700405816, stepsize: 0.8873565094161139
it: 128, loss: 21.187140700405816, stepsize: 0.8838834764831843
it: 129, loss: 20.65840588761768, stepsize: 0.8804509063256238
it: 130, loss: 20.65840588761768, stepsize: 0.8770580193070293
it: 131, loss: 20.65840588761768, stepsize: 0.8737040566610379
it: 132, loss: 20.65840588761768, stepsize: 0.8703882797784892
it: 133, loss: 20.65840588761768, stepsize: 0.8671099695241199
it: 134, loss: 20.65840588761768, stepsize: 0.8638684255813601
it: 135, loss: 20.65840588761768, stepsize: 0.8606629658238705
it: 136, loss: 20.65840588761768, stepsize: 0.8574929257125441
it: 137, loss: 20.65840588761768, stepsize: 0.8543576577167609
it: 138, loss: 18.913958255701996, stepsize: 0.8512565307587486
it: 139, loss: 18.913958255701996, stepsize: 0.848188929679971
it: 140, loss: 18.310403104099827, stepsize: 0.8451542547285166
