2019-05-19 18:27:32
sign_sgd_majority_one-point_log-reg_var-step_20_5,0_1
it: 307, loss: 3.0800559186440992, stepsize: 0.2853650727676748
it: 308, loss: 1.8412365304612939, stepsize: 0.2849014411490949
it: 309, loss: 0.9773294776131665, stepsize: 0.2844400619942871
it: 310, loss: 1.179227362058246, stepsize: 0.2839809171235324
it: 311, loss: 1.043556884815372, stepsize: 0.28352398856187133
it: 312, loss: 1.31887411945238, stepsize: 0.2830692585361489
it: 313, loss: 2.320232220878104, stepsize: 0.28261670947211076
it: 314, loss: 2.275722519163025, stepsize: 0.28216632399155017
it: 315, loss: 1.251111621208184, stepsize: 0.2817180849095055
it: 316, loss: 2.273084731783107, stepsize: 0.281271975231506
it: 317, loss: 3.1587984575033454, stepsize: 0.2808279781508652
it: 318, loss: 1.8298473880302093, stepsize: 0.28038607704602214
it: 319, loss: 2.7183887703582155, stepsize: 0.2799462554779272
it: 320, loss: 1.9407025931727373, stepsize: 0.2795084971874737
it: 321, loss: 2.5707475421968313, stepsize: 0.2790727860929738
it: 322, loss: 1.6427011005807741, stepsize: 0.2786391062876764
it: 323, loss: 2.094480410438655, stepsize: 0.2782074420373286
it: 324, loss: 1.8295377546354743, stepsize: 0.2777777777777778
it: 325, loss: 3.2259582315377635, stepsize: 0.2773500981126146
it: 326, loss: 2.2655645319673505, stepsize: 0.27692438781085565
it: 327, loss: 1.3674033091835787, stepsize: 0.2765006318046655
it: 328, loss: 0.8672577618558514, stepsize: 0.27607881518711636
it: 329, loss: 1.289660581037141, stepsize: 0.27565892320998564
it: 330, loss: 1.217110700675851, stepsize: 0.27524094128159016
it: 331, loss: 1.724526069044749, stepsize: 0.27482485496465636
it: 332, loss: 1.743826260169385, stepsize: 0.2744106499742259
it: 333, loss: 0.997152719228825, stepsize: 0.2739983121755955
it: 334, loss: 1.2208534405772826, stepsize: 0.2735878275822914
it: 335, loss: 1.2029983459478704, stepsize: 0.2731791823540765
it: 336, loss: 2.3144332071792064, stepsize: 0.2727723627949905
it: 337, loss: 1.2382695738224463, stepsize: 0.27236735535142165
it: 338, loss: 1.5465295675918291, stepsize: 0.2719641466102106
it: 339, loss: 1.2262035804580649, stepsize: 0.2715627232967842
it: 340, loss: 2.12975425528499, stepsize: 0.2711630722733202
it: 341, loss: 1.1587959119963018, stepsize: 0.27076518053694115
it: 342, loss: 1.815912902487623, stepsize: 0.2703690352179376
it: 343, loss: 2.8327656363636735, stepsize: 0.26997462357801943
it: 344, loss: 1.6057260195283205, stepsize: 0.269581933008596
it: 345, loss: 2.6570877098063557, stepsize: 0.26919095102908275
it: 346, loss: 1.3608539378580369, stepsize: 0.2688016652852352
it: 347, loss: 1.1918880682533177, stepsize: 0.26841406354750946
it: 348, loss: 2.129675004389311, stepsize: 0.26802813370944867
it: 349, loss: 1.0458472256016949, stepsize: 0.2676438637860946
it: 350, loss: 1.7837516124361326, stepsize: 0.2672612419124244
it: 351, loss: 1.0867230533538332, stepsize: 0.2668802563418119
it: 352, loss: 1.7819282924621294, stepsize: 0.26650089544451305
it: 353, loss: 2.961313395346978, stepsize: 0.26612314770617473
it: 354, loss: 1.782843607171595, stepsize: 0.26574700172636695
it: 355, loss: 0.9566916849967713, stepsize: 0.2653724462171376
it: 356, loss: 1.4303799217991697, stepsize: 0.26499947000159
it: 357, loss: 1.022679240733619, stepsize: 0.26462806201248157
it: 358, loss: 1.9206490017571363, stepsize: 0.264258211290845
it: 359, loss: 2.331245495574263, stepsize: 0.2638899069846298
it: 360, loss: 2.042104166707163, stepsize: 0.26352313834736496
it: 361, loss: 2.9056726093733363, stepsize: 0.2631578947368421
it: 362, loss: 1.7553840070271791, stepsize: 0.26279416561381835
it: 363, loss: 2.347642696749447, stepsize: 0.262431940540739
it: 364, loss: 3.1683325647063487, stepsize: 0.2620712091804796
it: 365, loss: 1.8056357534624254, stepsize: 0.2617119612951069
it: 366, loss: 1.1888057358945308, stepsize: 0.2613541867446583
it: 367, loss: 2.119444219463421, stepsize: 0.2609978754859403
it: 368, loss: 1.7548330265918484, stepsize: 0.26064301757134345
it: 369, loss: 2.7390443413893455, stepsize: 0.2602896031476768
it: 370, loss: 3.6396963378662948, stepsize: 0.25993762245501817
it: 371, loss: 2.698217872456943, stepsize: 0.2595870658255825
it: 372, loss: 2.845685170415373, stepsize: 0.25923792368260634
it: 373, loss: 1.6363211330094076, stepsize: 0.25889018653924883
it: 374, loss: 1.7288100083137974, stepsize: 0.2585438449975096
it: 375, loss: 2.0442202680894352, stepsize: 0.25819888974716115
it: 376, loss: 2.2315829649441556, stepsize: 0.2578553115646983
it: 377, loss: 1.324193532871032, stepsize: 0.2575131013123024
it: 378, loss: 2.4170029884673623, stepsize: 0.25717224993681986
it: 379, loss: 2.9343512897052033, stepsize: 0.25683274846875703
it: 380, loss: 3.184689012678446, stepsize: 0.25649458802128855
it: 381, loss: 3.6975541186811034, stepsize: 0.25615775978927996
it: 382, loss: 2.723484048363915, stepsize: 0.2558222550483254
it: 383, loss: 2.953968250465075, stepsize: 0.255488065153798
it: 384, loss: 1.761964471872667, stepsize: 0.2551551815399144
it: 385, loss: 3.111838591883452, stepsize: 0.2548235957188128
it: 386, loss: 2.363159117707441, stepsize: 0.2544932992796438
it: 387, loss: 3.1981667885349383, stepsize: 0.2541642838876745
it: 388, loss: 1.7804734514911744, stepsize: 0.25383654128340477
it: 389, loss: 2.9271277991538405, stepsize: 0.2535100632816969
it: 390, loss: 1.720689726790931, stepsize: 0.25318484177091666
it: 391, loss: 3.1049150257607785, stepsize: 0.2528608687120868
it: 392, loss: 2.219276112859878, stepsize: 0.2525381361380527
it: 393, loss: 1.2287503010451208, stepsize: 0.25221663615265916
it: 394, loss: 2.154873769696956, stepsize: 0.25189636092993917
it: 395, loss: 1.2292246601312184, stepsize: 0.2515773027133138
it: 396, loss: 1.70661243411108, stepsize: 0.251259453814803
it: 397, loss: 1.7572901418817892, stepsize: 0.2509428066142478
it: 398, loss: 1.3435977833528219, stepsize: 0.25062735355854276
it: 399, loss: 1.1265737450206594, stepsize: 0.25031308716087947
it: 400, loss: 1.9826571952433507, stepsize: 0.25
it: 401, loss: 3.489080695669812, stepsize: 0.24968808471946113
it: 402, loss: 3.2636060073054116, stepsize: 0.2493773340269082
it: 403, loss: 3.2933199669411435, stepsize: 0.24906774069335894
it: 404, loss: 3.9427874010138266, stepsize: 0.2487592975524973
it: 405, loss: 4.2710567592585535, stepsize: 0.24845199749997662
it: 406, loss: 3.0265526609297897, stepsize: 0.24814583349273256
it: 407, loss: 3.2293151035748338, stepsize: 0.24784079854830482
it: 408, loss: 2.5656020884803046, stepsize: 0.2475368857441686
it: 409, loss: 1.500627398924318, stepsize: 0.24723408821707438
it: 410, loss: 2.594673217356541, stepsize: 0.2469323991623974
